Name,Out Datetime,In Datetime,Voltage (kV),Duration (minutes),Outage Type,Cause,year,outage_year,threshold
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:05:00,2012-01-19 11:07:00,115.0,2,Auto,Unknown,2012,{2012},49487.0
McNary-Badger Canyon No 1 115kV line,2012-01-19 11:05:00,2012-01-19 11:07:00,115.0,2,Auto,Unknown,2012,{2012},49487.0
B-1345-B-1605 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Berrian tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Berrian-H2F section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
H2F tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
H2F-Nine Canyon section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Nine Canyon tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Nine Canyon-Badger Canyon section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
Plymouth tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:09:00,2012-01-19 11:14:00,115.0,5,Auto,Weather,2012,{2012},49487.0
B-1345-B-1605 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
Berrian tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
Berrian-H2F section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
H2F tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
H2F-Nine Canyon section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 13:59:00,115.0,164,Auto,Weather,2012,{2012},49487.0
McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 13:59:00,115.0,164,Auto,Weather,2012,{2012},49487.0
Nine Canyon tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
Nine Canyon-Badger Canyon section of McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 12:21:00,115.0,66,Auto,Weather,2012,{2012},49487.0
Plymouth tap to McNary-Badger Canyon No 1 115kV line,2012-01-19 11:15:00,2012-01-19 13:59:00,115.0,164,Auto,Weather,2012,{2012},49487.0
McNary-B-1345 section of McNary-Badger Canyon No 1 115kV line,2012-01-19 14:00:00,2012-01-22 10:23:00,115.0,4103,Auto,Wind,2012,{2012},49487.0
McNary-Badger Canyon No 1 115kV line,2012-01-19 14:00:00,2012-01-22 10:23:00,115.0,4103,Auto,Wind,2012,{2012},49487.0
Acton tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Acton-Cascade Locks section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Bonneville-Acton section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Cascade Locks tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Cascade Locks-Hood River section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 16:17:00,2012-01-19 16:23:00,115.0,6,Auto,Weather,2012,{2012},49487.0
Acton tap to Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-01-19 18:45:00,115.0,72,Auto,Weather,2012,{2012},49487.0
Acton-Cascade Locks section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-01-19 18:45:00,115.0,72,Auto,Weather,2012,{2012},49487.0
Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-02-03 16:20:00,115.0,21527,Auto,Weather,2012,{2012},49487.0
Bonneville-Acton section of Bonneville PH 1-Hood River No 1 115kV line,2012-01-19 17:33:00,2012-01-19 18:45:00,115.0,72,Auto,Weather,2012,{2012},49487.0
